Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year
Data Scientist,Full-Time,Senior,Expert,214500,United States Dollar,United States of America,214500,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,214200,United States Dollar,United States of America,214200,United States,Medium,2023
AI Engineer,Full-Time,Mid,Intermediate,300000,United States Dollar,Qatar,300000,Qatar,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,213800,United States Dollar,United States of America,213800,United States,Medium,2023
Applied Scientist,Full-Time,Entry,Junior,213660,United States Dollar,United States of America,213660,United States,Large,2023
Analytics Engineer,Full-Time,Senior,Expert,213600,United States Dollar,United States of America,213600,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,213580,United States Dollar,United States of America,213580,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,213210,United States Dollar,United States of America,213210,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,213120,United States Dollar,United States of America,213120,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,213120,United States Dollar,United States of America,213120,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,213000,United States Dollar,United States of America,213000,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,70000,British Pound Sterling,Canada,86128,Canada,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,50000,British Pound Sterling,Canada,61520,Canada,Medium,2023
Research Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Large,2023
Data Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Large,2023
Applied Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,212750,United States Dollar,United States of America,212750,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,212200,United States Dollar,United States of America,212200,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,211949,United States Dollar,United States of America,211949,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,211500,United States Dollar,United States of America,211500,United States,Medium,2022
Research Engineer,Full-Time,Senior,Expert,211200,United States Dollar,United States of America,211200,United States,Medium,2023
Data Science Manager,Full-Time,Senior,Expert,211000,United States Dollar,United States of America,211000,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,210914,United States Dollar,United States of America,210914,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,210600,United States Dollar,United States of America,210600,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,210550,United States Dollar,United States of America,210550,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,210200,United States Dollar,United States of America,210200,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Machine Learning Researcher,Full-Time,Mid,Intermediate,210000,United States Dollar,United States of America,210000,United States,Small,2023
Research Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Software Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Large,2023
Machine Learning Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
NLP Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Computer Vision Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,210000,United States Dollar,United States of America,210000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,170500,United States Dollar,Canada,170500,Canada,Medium,2023
Data Scientist,Full-Time,Senior,Expert,118575,United States Dollar,Canada,118575,Canada,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Applied Machine Learning Scientist,Contract,Mid,Intermediate,93000,Euro,Netherlands,97712,Italy,Large,2022
AI Research Engineer,Full-Time,Entry,Junior,23100,Euro,Portugal,24940,Portugal,Medium,2023
Data Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Research Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Data Architect,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Analytics Engineer,Full-Time,Executive,Director,210000,United States Dollar,United States of America,210000,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,209450,United States Dollar,United States of America,209450,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,209300,United States Dollar,United States of America,209300,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,209100,United States Dollar,United States of America,209100,United States,Large,2022
Analytics Engineer,Full-Time,Senior,Expert,209000,United States Dollar,United States of America,209000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,209000,United States Dollar,United States of America,209000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,208775,United States Dollar,United States of America,208775,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,208500,United States Dollar,United States of America,208500,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,208500,United States Dollar,United States of America,208500,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,208400,United States Dollar,United States of America,208400,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,208200,United States Dollar,United States of America,208200,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,208049,United States Dollar,United States of America,208049,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,208000,United States Dollar,United States of America,208000,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,24000,Euro,Italy,25912,Italy,Small,2023
Data Scientist,Full-Time,Senior,Expert,125000,Euro,Netherlands,134960,Netherlands,Medium,2023
Data Scientist,Full-Time,Senior,Expert,208000,United States Dollar,United States of America,208000,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,207900,United States Dollar,United States of America,207900,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,207500,United States Dollar,United States of America,207500,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,207000,United States Dollar,United States of America,207000,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,207000,United States Dollar,United States of America,207000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,207000,United States Dollar,United States of America,207000,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,206699,United States Dollar,United States of America,206699,United States,Medium,2022
Data Engineer,Full-Time,Mid,Intermediate,206699,United States Dollar,United States of America,206699,United States,Medium,2022
Data Analyst,Full-Time,Senior,Expert,206500,United States Dollar,United States of America,206500,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,206000,United States Dollar,United States of America,206000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,206000,United States Dollar,United States of America,206000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,206000,United States Dollar,United States of America,206000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,206000,United States Dollar,United States of America,206000,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,206000,United States Dollar,United States of America,206000,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,206000,United States Dollar,United States of America,206000,United States,Medium,2022
Data Science Manager,Full-Time,Senior,Expert,206000,United States Dollar,United States of America,206000,United States,Medium,2022
Machine Learning Infrastructure Engineer,Full-Time,Mid,Intermediate,205920,United States Dollar,United States of America,205920,United States,Medium,2023
Machine Learning Infrastructure Engineer,Full-Time,Senior,Expert,205920,United States Dollar,United States of America,205920,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205700,United States Dollar,United States of America,205700,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,205640,United States Dollar,United States of America,205640,United States,Medium,2023
Data Scientist,Full-Time,Entry,Junior,160800,United States Dollar,United Kingdom,160800,United Kingdom,Medium,2023
Data Scientist,Full-Time,Entry,Junior,132200,United States Dollar,United Kingdom,132200,United Kingdom,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205600,United States Dollar,United States of America,205600,United States,Large,2023
Data Engineer,Full-Time,Senior,Expert,205600,United States Dollar,United States of America,205600,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205600,United States Dollar,United States of America,205600,United States,Large,2022
Data Scientist,Full-Time,Senior,Expert,205500,United States Dollar,United States of America,205500,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,205500,United States Dollar,United States of America,205500,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,205485,United States Dollar,United States of America,205485,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,205300,United States Dollar,United States of America,205300,United States,Large,2022
Data Scientist,Full-Time,Senior,Expert,205300,United States Dollar,United States of America,205300,United States,Medium,2022
Analytics Engineer,Full-Time,Senior,Expert,205300,United States Dollar,United States of America,205300,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,205150,United States Dollar,United States of America,205150,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Research Analyst,Full-Time,Senior,Expert,49500,Euro,Spain,53444,Spain,Medium,2023
Research Analyst,Full-Time,Senior,Expert,41818,Euro,Spain,45150,Spain,Medium,2023
Data Engineer,Full-Time,Executive,Director,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2022
Applied Scientist,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2022
Research Analyst,Full-Time,Senior,Expert,52200,Euro,Italy,56359,Italy,Medium,2023
Research Analyst,Full-Time,Senior,Expert,44272,Euro,Italy,47799,Italy,Medium,2023
Data Scientist,Full-Time,Senior,Expert,205000,United States Dollar,United States of America,205000,United States,Medium,2022
Head of Data,Full-Time,Executive,Director,205000,United States Dollar,United States of America,205000,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,204750,United States Dollar,United States of America,204750,United States,Medium,2023
Applied Scientist,Full-Time,Entry,Junior,204620,United States Dollar,United States of America,204620,United States,Large,2023
Machine Learning Engineer,Full-Time,Senior,Expert,204600,United States Dollar,United States of America,204600,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Research Engineer,Full-Time,Entry,Junior,15662,Euro,Russia,16455,Russian Federation,Medium,2022
Decision Scientist,Full-Time,Mid,Intermediate,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Decision Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023
Data Analyst,Full-Time,Entry,Junior,35000,British Pound Sterling,United Kingdom,43064,United Kingdom,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,192000,United States Dollar,Canada,192000,Canada,Medium,2023
Data Analyst,Full-Time,Senior,Expert,92000,United States Dollar,Canada,92000,Canada,Medium,2023
Head of Data,Full-Time,Executive,Director,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Data Analytics Manager,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,204500,United States Dollar,United States of America,204500,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,204100,United States Dollar,United States of America,204100,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,204000,United States Dollar,United States of America,204000,United States,Medium,2023
AI Architect,Full-Time,Senior,Expert,204000,United States Dollar,United States of America,204000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,204000,United States Dollar,United States of America,204000,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,204000,United States Dollar,United States of America,204000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,204000,United States Dollar,United States of America,204000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,203500,United States Dollar,United States of America,203500,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,203500,United States Dollar,United States of America,203500,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,203500,United States Dollar,United States of America,203500,United States,Medium,2022
Analytics Engineer,Full-Time,Senior,Expert,203500,United States Dollar,United States of America,203500,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,203300,United States Dollar,United States of America,203300,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,203100,United States Dollar,United States of America,203100,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,203000,United States Dollar,United States of America,203000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,203000,United States Dollar,United States of America,203000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,202900,United States Dollar,United States of America,202900,United States,Large,2022
Business Intelligence Engineer,Full-Time,Senior,Expert,202800,United States Dollar,United States of America,202800,United States,Large,2023
Data Analyst,Full-Time,Senior,Expert,202800,United States Dollar,United States of America,202800,United States,Large,2023
Data Scientist,Full-Time,Senior,Expert,202800,United States Dollar,United States of America,202800,United States,Large,2022
Data Engineer,Full-Time,Mid,Intermediate,202400,United States Dollar,United States of America,202400,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,202400,United States Dollar,United States of America,202400,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,202353,United States Dollar,United States of America,202353,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,281000,United States Dollar,Canada,281000,Canada,Medium,2023
Data Scientist,Full-Time,Senior,Expert,181000,United States Dollar,Canada,181000,Canada,Medium,2023
ML Engineer,Full-Time,Senior,Expert,202353,United States Dollar,United States of America,202353,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,202350,United States Dollar,United States of America,202350,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,202000,United States Dollar,United States of America,202000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,202000,United States Dollar,United States of America,202000,United States,Medium,2023
Director of Data Science,Full-Time,Executive,Director,201900,United States Dollar,United States of America,201900,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,201450,United States Dollar,United States of America,201450,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,201450,United States Dollar,United States of America,201450,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,201036,United States Dollar,United States of America,201036,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,201000,United States Dollar,United States of America,201000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,201000,United States Dollar,United States of America,201000,United States,Medium,2022
Data Analyst,Full-Time,Senior,Expert,201000,United States Dollar,United States of America,201000,United States,Medium,2022
Data Analytics Lead,Full-Time,Mid,Intermediate,100000,British Pound Sterling,United Kingdom,123040,United Kingdom,Medium,2023
Data Analytics Lead,Full-Time,Mid,Intermediate,85000,British Pound Sterling,United Kingdom,104584,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,200800,United States Dollar,United States of America,200800,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,200800,United States Dollar,United States of America,200800,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,200160,United States Dollar,United States of America,200160,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,200100,United States Dollar,United States of America,200100,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Infrastructure Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2023
Machine Learning Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,200000,United States Dollar,Canada,200000,Canada,Medium,2023
Data Engineer,Full-Time,Senior,Expert,160000,United States Dollar,Canada,160000,Canada,Medium,2023
Machine Learning Engineer,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Research Scientist,Full-Time,Entry,Junior,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
AI Architect,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2023
Data Engineer,Full-Time,Mid,Intermediate,183000,United States Dollar,Canada,183000,Canada,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,122000,United States Dollar,Canada,122000,Canada,Medium,2023
Machine Learning Scientist,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Science Lead,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Research Engineer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
AI Developer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Scientist,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Machine Learning Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Small,2023
Analytics Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
BI Data Analyst,Full-Time,Entry,Junior,50000,United States Dollar,Kenya,50000,Kenya,Small,2023
Computer Vision Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Small,2023
Data Lead,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Machine Learning Manager,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,240000,United States Dollar,United Kingdom,240000,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,160000,United States Dollar,United Kingdom,160000,United Kingdom,Medium,2023
Machine Learning Scientist,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Small,2022
AI Scientist,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Small,2022
Analytics Engineer,Full-Time,Executive,Director,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Machine Learning Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2022
Analytics Engineer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2022
AI Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Data Science Manager,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2022
AI Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,India,Large,2022
Data Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Medium,2022
Head of Data,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,Malaysia,Medium,2022
Principal Data Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Medium,2021
Data Engineer,Full-Time,Mid,Intermediate,200000,United States Dollar,United States of America,200000,United States,Large,2021
Data Analyst,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2021
Data Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2021
Machine Learning Engineer,Full-Time,Senior,Expert,200000,United States Dollar,United States of America,200000,United States,Large,2021
Data Architect,Full-Time,Senior,Expert,199600,United States Dollar,United States of America,199600,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,199200,United States Dollar,United States of America,199200,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,199098,United States Dollar,United States of America,199098,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,199098,United States Dollar,United States of America,199098,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
MLOps Engineer,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
Data Manager,Full-Time,Senior,Expert,199000,United States Dollar,United States of America,199000,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,198900,United States Dollar,United States of America,198900,United States,Medium,2023
Data Science Practitioner,Full-Time,Senior,Expert,198800,United States Dollar,United States of America,198800,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,198800,United States Dollar,United States of America,198800,United States,Medium,2023
Data Manager,Full-Time,Senior,Expert,198800,United States Dollar,United States of America,198800,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,198800,United States Dollar,United States of America,198800,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,198800,United States Dollar,United States of America,198800,United States,Medium,2022
Data Engineer,Full-Time,Senior,Expert,150600,United States Dollar,United Kingdom,150600,United Kingdom,Medium,2023
Data Engineer,Full-Time,Senior,Expert,120500,United States Dollar,United Kingdom,120500,United Kingdom,Medium,2023
Data Scientist,Full-Time,Senior,Expert,198440,United States Dollar,United States of America,198440,United States,Large,2022
Data Scientist,Full-Time,Senior,Expert,198440,United States Dollar,United States of America,198440,United States,Medium,2022
Data Scientist,Full-Time,Senior,Expert,198200,United States Dollar,United States of America,198200,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,239000,United States Dollar,Canada,239000,Canada,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,149000,United States Dollar,Canada,149000,Canada,Medium,2023
ML Engineer,Full-Time,Senior,Expert,198200,United States Dollar,United States of America,198200,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,198200,United States Dollar,United States of America,198200,United States,Medium,2023
Data Science Manager,Full-Time,Senior,Expert,198200,United States Dollar,United States of America,198200,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,198200,United States Dollar,United States of America,198200,United States,Medium,2022
Applied Scientist,Full-Time,Mid,Intermediate,198000,United States Dollar,United States of America,198000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,198000,United States Dollar,United States of America,198000,United States,Medium,2023
Data Architect,Full-Time,Senior,Expert,198000,United States Dollar,United States of America,198000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,197600,United States Dollar,United States of America,197600,United States,Medium,2023
Research Scientist,Full-Time,Senior,Expert,197500,United States Dollar,United States of America,197500,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,140000,United States Dollar,Canada,140000,Canada,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,112000,United States Dollar,Canada,112000,Canada,Medium,2023
Data Integration Specialist,Full-Time,Senior,Expert,3000000,Indian Rupee,India,36483,India,Large,2023
Lead Data Scientist,Full-Time,Senior,Expert,36000,United States Dollar,Russia,36000,Russian Federation,Large,2023
Data Engineer,Full-Time,Senior,Expert,197430,United States Dollar,United States of America,197430,United States,Medium,2022
