,Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year,Region
412,Research Scientist,Full-Time,Senior,Expert,234700,United States Dollar,United States of America,234700,United States,Medium,2023,North America
413,BI Analyst,Full-Time,Senior,Expert,234485,United States Dollar,United States of America,234485,United States,Medium,2023,North America
414,ML Engineer,Full-Time,Senior,Expert,234100,United States Dollar,United States of America,234100,United States,Medium,2023,North America
415,Data Scientist,Full-Time,Senior,Expert,234000,United States Dollar,United States of America,234000,United States,Medium,2023,North America
416,ML Engineer,Full-Time,Senior,Expert,234000,United States Dollar,United States of America,234000,United States,Medium,2023,North America
417,Analytics Engineer,Full-Time,Senior,Expert,233400,United States Dollar,United States of America,233400,United States,Medium,2023,North America
418,Data Scientist,Full-Time,Senior,Expert,233300,United States Dollar,United States of America,233300,United States,Medium,2023,North America
419,Data Scientist,Full-Time,Senior,Expert,233200,United States Dollar,United States of America,233200,United States,Medium,2023,North America
420,Data Engineer,Full-Time,Senior,Expert,233000,United States Dollar,United States of America,233000,United States,Medium,2023,North America
421,Machine Learning Engineer,Full-Time,Senior,Expert,233000,United States Dollar,United States of America,233000,United States,Medium,2023,North America
422,Data Engineer,Full-Time,Senior,Expert,232989,United States Dollar,United States of America,232989,United States,Medium,2023,North America
423,Data Engineer,Full-Time,Senior,Expert,232960,United States Dollar,United States of America,232960,United States,Medium,2023,North America
424,Data Engineer,Full-Time,Senior,Expert,232760,United States Dollar,United States of America,232760,United States,Medium,2023,North America
425,Machine Learning Engineer,Full-Time,Senior,Expert,232200,United States Dollar,United States of America,232200,United States,Medium,2023,North America
426,Data Engineer,Full-Time,Senior,Expert,232200,United States Dollar,United States of America,232200,United States,Medium,2023,North America
427,Data Engineer,Full-Time,Senior,Expert,232000,United States Dollar,United States of America,232000,United States,Medium,2023,North America
428,Data Engineer,Full-Time,Senior,Expert,231500,United States Dollar,United States of America,231500,United States,Medium,2023,North America
429,Analytics Engineer,Full-Time,Senior,Expert,231250,United States Dollar,United States of America,231250,United States,Medium,2023,North America
430,Data Science Manager,Full-Time,Senior,Expert,231250,United States Dollar,United States of America,231250,United States,Medium,2023,North America
431,Data Engineer,Full-Time,Senior,Expert,231250,United States Dollar,United States of America,231250,United States,Medium,2023,North America
432,Data Engineer,Full-Time,Senior,Expert,231250,United States Dollar,United States of America,231250,United States,Medium,2022,North America
433,Analytics Engineer,Full-Time,Senior,Expert,231250,United States Dollar,United States of America,231250,United States,Medium,2022,North America
434,Data Engineer,Full-Time,Senior,Expert,231000,United States Dollar,United States of America,231000,United States,Medium,2023,North America
435,Machine Learning Engineer,Full-Time,Senior,Expert,231000,United States Dollar,United States of America,231000,United States,Medium,2023,North America
436,Data Scientist,Full-Time,Senior,Expert,231000,United States Dollar,United States of America,231000,United States,Medium,2023,North America
437,ML Engineer,Full-Time,Senior,Expert,230797,United States Dollar,United States of America,230797,United States,Medium,2023,North America
438,Data Architect,Full-Time,Senior,Expert,230400,United States Dollar,United States of America,230400,United States,Medium,2022,North America
439,Data Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
440,Applied Scientist,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
441,Data Scientist,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
442,Machine Learning Engineer,Full-Time,Mid,Intermediate,36000,Euro,Spain,38868,Spain,Large,2023,Europe
443,Machine Learning Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
444,Data Scientist,Full-Time,Mid,Intermediate,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
445,Data Analyst,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
446,Data Analyst,Full-Time,Mid,Intermediate,36000,Euro,Estonia,38868,Estonia,Medium,2023,Europe
447,Head of Data Science,Full-Time,Executive,Director,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
448,Analytics Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
449,Research Engineer,Full-Time,Mid,Intermediate,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
450,Machine Learning Scientist,Full-Time,Mid,Intermediate,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
451,Research Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2023,North America
452,Applied Scientist,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2022,North America
453,Machine Learning Engineer,Full-Time,Mid,Intermediate,230000,United States Dollar,United States of America,230000,United States,Medium,2022,North America
454,Data Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2022,North America
455,AI Engineer,Full-Time,Senior,Expert,60000,Euro,Spain,64781,Spain,Medium,2023,Europe
456,Data Engineer,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Large,2022,North America
457,Data Scientist,Full-Time,Senior,Expert,230000,United States Dollar,United States of America,230000,United States,Medium,2022,North America
458,Data Engineer,Full-Time,Senior,Expert,229998,United States Dollar,United States of America,229998,United States,Large,2022,North America
459,Data Analyst,Full-Time,Mid,Intermediate,229000,United States Dollar,United States of America,229000,United States,Medium,2023,North America
460,Data Engineer,Full-Time,Senior,Expert,229000,United States Dollar,United States of America,229000,United States,Medium,2023,North America
461,ML Engineer,Full-Time,Senior,Expert,229000,United States Dollar,United States of America,229000,United States,Medium,2023,North America
462,Data Scientist,Full-Time,Senior,Expert,228856,United States Dollar,United States of America,228856,United States,Medium,2023,North America
463,Machine Learning Engineer,Full-Time,Senior,Expert,228830,United States Dollar,United States of America,228830,United States,Medium,2023,North America
464,Data Scientist,Full-Time,Senior,Expert,228000,United States Dollar,United States of America,228000,United States,Medium,2023,North America
465,Data Architect,Full-Time,Senior,Expert,228000,United States Dollar,United States of America,228000,United States,Medium,2023,North America
466,AI Engineer,Full-Time,Senior,Expert,227850,United States Dollar,United States of America,227850,United States,Medium,2023,North America
467,Applied Scientist,Full-Time,Senior,Expert,227700,United States Dollar,United States of America,227700,United States,Medium,2023,North America
468,Data Scientist,Full-Time,Senior,Expert,227240,United States Dollar,United States of America,227240,United States,Medium,2023,North America
469,Machine Learning Engineer,Full-Time,Senior,Expert,227000,United States Dollar,United States of America,227000,United States,Medium,2023,North America
470,Data Analyst,Full-Time,Senior,Expert,227000,United States Dollar,United States of America,227000,United States,Medium,2023,North America
471,Data Engineer,Full-Time,Senior,Expert,226700,United States Dollar,United States of America,226700,United States,Medium,2023,North America
472,Machine Learning Engineer,Full-Time,Senior,Expert,226600,United States Dollar,United States of America,226600,United States,Medium,2023,North America
473,Data Scientist,Full-Time,Senior,Expert,226600,United States Dollar,United States of America,226600,United States,Medium,2023,North America
474,Data Engineer,Full-Time,Senior,Expert,226600,United States Dollar,United States of America,226600,United States,Medium,2023,North America
475,Data Scientist,Full-Time,Senior,Expert,226000,United States Dollar,United States of America,226000,United States,Medium,2023,North America
476,ML Engineer,Full-Time,Senior,Expert,226000,United States Dollar,United States of America,226000,United States,Medium,2023,North America
477,Data Science Lead,Full-Time,Senior,Expert,225900,United States Dollar,United States of America,225900,United States,Medium,2023,North America
478,Data Engineer,Full-Time,Senior,Expert,225500,United States Dollar,United States of America,225500,United States,Medium,2023,North America
479,Business Intelligence Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
480,Data Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
481,Data Scientist,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
482,AI Engineer,Full-Time,Mid,Intermediate,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
483,Data Science Lead,Full-Time,Mid,Intermediate,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
484,Machine Learning Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
485,Research Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
486,Data Scientist,Full-Time,Executive,Director,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
487,Director of Data Science,Full-Time,Executive,Director,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
488,Applied Machine Learning Engineer,Full-Time,Executive,Director,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
489,Data Lead,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
490,Machine Learning Scientist,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2023,North America
491,AI Scientist,Full-Time,Senior,Expert,60000,Euro,Germany,64781,Germany,Large,2023,Europe
492,Data Scientist,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2022,North America
493,Data Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2022,North America
494,Data Architect,Full-Time,Senior,Expert,225000,United States Dollar,United States of America,225000,United States,Medium,2022,North America
495,Data Scientist,Full-Time,Mid,Intermediate,225000,United States Dollar,United States of America,225000,United States,Medium,2022,North America
496,Machine Learning Scientist,Full-Time,Entry,Junior,225000,United States Dollar,United States of America,225000,United States,Large,2021,North America
497,Data Engineer,Full-Time,Senior,Expert,224500,United States Dollar,United States of America,224500,United States,Medium,2023,North America
498,Machine Learning Engineer,Full-Time,Senior,Expert,224000,United States Dollar,United States of America,224000,United States,Medium,2023,North America
499,Head of Data Science,Full-Time,Executive,Director,224000,United States Dollar,United States of America,224000,United States,Medium,2022,North America
500,Data Scientist,Full-Time,Senior,Expert,223800,United States Dollar,United States of America,223800,United States,Medium,2023,North America
501,Data Engineer,Full-Time,Senior,Expert,223250,United States Dollar,United States of America,223250,United States,Medium,2023,North America
502,Data Analyst,Full-Time,Senior,Expert,223100,United States Dollar,United States of America,223100,United States,Large,2023,North America
503,Data Scientist,Full-Time,Senior,Expert,222800,United States Dollar,United States of America,222800,United States,Medium,2023,North America
504,Data Scientist,Full-Time,Senior,Expert,222750,United States Dollar,United States of America,222750,United States,Medium,2023,North America
505,Data Science Manager,Full-Time,Executive,Director,222640,United States Dollar,United States of America,222640,United States,Medium,2022,North America
506,Applied Scientist,Full-Time,Mid,Intermediate,222200,United States Dollar,United States of America,222200,United States,Large,2023,North America
507,Applied Scientist,Full-Time,Senior,Expert,222200,United States Dollar,United States of America,222200,United States,Large,2023,North America
508,Data Scientist,Full-Time,Senior,Expert,222000,United States Dollar,United States of America,222000,United States,Medium,2023,North America
509,Machine Learning Scientist,Full-Time,Senior,Expert,222000,United States Dollar,United States of America,222000,United States,Medium,2023,North America
510,Data Engineer,Full-Time,Senior,Expert,222000,United States Dollar,United States of America,222000,United States,Medium,2023,North America
511,Data Engineer,Full-Time,Senior,Expert,221484,United States Dollar,United States of America,221484,United States,Medium,2023,North America
512,Analytics Engineer,Full-Time,Senior,Expert,221300,United States Dollar,United States of America,221300,United States,Medium,2023,North America
513,Data Specialist,Full-Time,Senior,Expert,221300,United States Dollar,United States of America,221300,United States,Large,2022,North America
514,Data Engineer,Full-Time,Mid,Intermediate,40000,British Pound Sterling,United Kingdom,49216,United Kingdom,Medium,2023,Europe
515,Data Engineer,Full-Time,Mid,Intermediate,35000,British Pound Sterling,United Kingdom,43064,United Kingdom,Medium,2023,Europe
516,Machine Learning Engineer,Full-Time,Senior,Expert,221000,United States Dollar,United States of America,221000,United States,Medium,2023,North America
517,Analytics Engineer,Full-Time,Executive,Director,221000,United States Dollar,United States of America,221000,United States,Medium,2023,North America
518,Data Engineer,Full-Time,Senior,Expert,221000,United States Dollar,United States of America,221000,United States,Medium,2023,North America
519,MLOps Engineer,Full-Time,Mid,Intermediate,140400,Brazilian Real,Brazil,27568,Brazil,Large,2023,South America
520,Data Engineer,Full-Time,Senior,Expert,220110,United States Dollar,United States of America,220110,United States,Medium,2022,North America
521,Research Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
522,Business Intelligence Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
523,Machine Learning Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
524,Machine Learning Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
525,Applied Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
526,Data Engineer,Full-Time,Executive,Director,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
527,Data Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
528,Research Scientist,Full-Time,Mid,Intermediate,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
529,Data Scientist,Full-Time,Executive,Director,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
530,Data Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
531,Research Scientist,Full-Time,Entry,Junior,220000,United States Dollar,United States of America,220000,United States,Large,2023,North America
532,Machine Learning Scientist,Full-Time,Mid,Intermediate,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
533,Computer Vision Engineer,Full-Time,Entry,Junior,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
534,ML Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
535,Data Science Manager,Full-Time,Mid,Intermediate,220000,United States Dollar,United States of America,220000,United States,Medium,2023,North America
536,Data Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2022,North America
537,Data Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2022,North America
538,Machine Learning Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Medium,2022,North America
539,Principal Data Scientist,Full-Time,Senior,Expert,220000,United States Dollar,United States of America,220000,United States,Large,2021,North America
540,Data Engineer,Full-Time,Entry,Junior,90000,United States Dollar,Canada,90000,United States,Large,2023,North America
541,Data Engineer,Full-Time,Senior,Expert,219535,United States Dollar,United States of America,219535,United States,Medium,2023,North America
542,Machine Learning Engineer,Full-Time,Senior,Expert,219300,United States Dollar,United States of America,219300,United States,Medium,2023,North America
543,Data Engineer,Full-Time,Mid,Intermediate,110000,United States Dollar,France,110000,France,Medium,2023,Europe
544,Data Engineer,Full-Time,Mid,Intermediate,90000,United States Dollar,France,90000,France,Medium,2023,Europe
545,Data Scientist,Full-Time,Senior,Expert,219000,United States Dollar,United States of America,219000,United States,Medium,2023,North America
546,Machine Learning Engineer,Full-Time,Mid,Intermediate,219000,United States Dollar,United States of America,219000,United States,Large,2023,North America
547,Data Integration Specialist,Full-Time,Entry,Junior,115000,United States Dollar,Canada,115000,Canada,Medium,2023,North America
548,Data Integration Specialist,Full-Time,Entry,Junior,85000,United States Dollar,Canada,85000,Canada,Medium,2023,North America
549,Machine Learning Engineer,Full-Time,Senior,Expert,218755,United States Dollar,United States of America,218755,United States,Medium,2023,North America
550,Machine Learning Engineer,Full-Time,Senior,Expert,218540,United States Dollar,United States of America,218540,United States,Medium,2023,North America
551,Data Scientist,Full-Time,Senior,Expert,218500,United States Dollar,United States of America,218500,United States,Medium,2023,North America
552,Machine Learning Engineer,Full-Time,Senior,Expert,218000,United States Dollar,United States of America,218000,United States,Medium,2023,North America
553,Data Scientist,Full-Time,Senior,Expert,218000,United States Dollar,United States of America,218000,United States,Medium,2023,North America
554,Data Scientist,Full-Time,Senior,Expert,218000,United States Dollar,United States of America,218000,United States,Medium,2022,North America
555,Data Engineer,Full-Time,Senior,Expert,72000,United States Dollar,Brazil,72000,Brazil,Medium,2023,South America
556,Data Engineer,Full-Time,Senior,Expert,60000,United States Dollar,Brazil,60000,Brazil,Medium,2023,South America
557,Machine Learning Software Engineer,Full-Time,Mid,Intermediate,217600,United States Dollar,United States of America,217600,United States,Medium,2023,North America
558,Data Engineer,Full-Time,Senior,Expert,217000,United States Dollar,United States of America,217000,United States,Medium,2023,North America
559,Data Analyst,Full-Time,Senior,Expert,216200,United States Dollar,United States of America,216200,United States,Medium,2022,North America
560,Data Analyst,Full-Time,Mid,Intermediate,216200,United States Dollar,United States of America,216200,United States,Medium,2022,North America
561,Data Scientist,Full-Time,Senior,Expert,216100,United States Dollar,United States of America,216100,United States,Medium,2023,North America
562,Data Engineer,Full-Time,Senior,Expert,216027,United States Dollar,United States of America,216027,United States,Medium,2023,North America
563,Applied Scientist,Full-Time,Senior,Expert,216000,United States Dollar,United States of America,216000,United States,Medium,2023,North America
564,Machine Learning Engineer,Full-Time,Senior,Expert,216000,United States Dollar,United States of America,216000,United States,Medium,2023,North America
565,Data Engineer,Full-Time,Senior,Expert,216000,United States Dollar,United States of America,216000,United States,Medium,2022,North America
566,Data Scientist,Full-Time,Mid,Intermediate,100000,British Pound Sterling,United Kingdom,123040,United Kingdom,Medium,2023,Europe
567,Data Scientist,Full-Time,Mid,Intermediate,60000,British Pound Sterling,United Kingdom,73824,United Kingdom,Medium,2023,Europe
568,Machine Learning Scientist,Full-Time,Senior,Expert,216000,United States Dollar,United States of America,216000,United States,Medium,2022,North America
569,Data Engineer,Full-Time,Executive,Director,216000,United States Dollar,United States of America,216000,United States,Medium,2022,North America
570,AI Architect,Full-Time,Executive,Director,200000,Euro,United States of America,215936,Belgium,Large,2023,North America
571,Data Scientist,Full-Time,Senior,Expert,215300,United States Dollar,United States of America,215300,United States,Large,2022,North America
572,Analytics Engineer,Full-Time,Senior,Expert,215050,United States Dollar,United States of America,215050,United States,Medium,2023,North America
573,Data Scientist,Full-Time,Senior,Expert,215050,United States Dollar,United States of America,215050,United States,Medium,2023,North America
574,Data Architect,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Medium,2023,North America
575,Head of Data,Full-Time,Executive,Director,115000,United States Dollar,Brazil,115000,Brazil,Medium,2023,South America
576,Head of Data,Full-Time,Executive,Director,110000,United States Dollar,Brazil,110000,Brazil,Medium,2023,South America
577,Bear Robotics,Full-Time,Mid,Intermediate,215000,United States Dollar,United States of America,215000,United States,Medium,2023,North America
578,Data Engineer,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Medium,2023,North America
579,Computer Vision Engineer,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Medium,2023,North America
580,Research Scientist,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Medium,2023,North America
581,Data Engineer,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Medium,2022,North America
582,Data Scientist,Full-Time,Senior,Expert,215000,United States Dollar,United States of America,215000,United States,Large,2022,North America
583,Data Scientist,Full-Time,Senior,Expert,214500,United States Dollar,United States of America,214500,United States,Medium,2023,North America
584,Analytics Engineer,Full-Time,Senior,Expert,214200,United States Dollar,United States of America,214200,United States,Medium,2023,North America
585,AI Engineer,Full-Time,Mid,Intermediate,300000,United States Dollar,Qatar,300000,Qatar,Medium,2023,Middle East
586,Applied Scientist,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023,North America
587,Data Scientist,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023,North America
588,Analytics Engineer,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2023,North America
589,Machine Learning Engineer,Full-Time,Senior,Expert,214000,United States Dollar,United States of America,214000,United States,Medium,2022,North America
590,Machine Learning Engineer,Full-Time,Senior,Expert,213800,United States Dollar,United States of America,213800,United States,Medium,2023,North America
591,Applied Scientist,Full-Time,Entry,Junior,213660,United States Dollar,United States of America,213660,United States,Large,2023,North America
592,Analytics Engineer,Full-Time,Senior,Expert,213600,United States Dollar,United States of America,213600,United States,Medium,2023,North America
593,Data Engineer,Full-Time,Senior,Expert,213580,United States Dollar,United States of America,213580,United States,Medium,2023,North America
594,Data Analyst,Full-Time,Senior,Expert,213210,United States Dollar,United States of America,213210,United States,Medium,2023,North America
595,Data Architect,Full-Time,Senior,Expert,213120,United States Dollar,United States of America,213120,United States,Medium,2023,North America
596,Data Architect,Full-Time,Senior,Expert,213120,United States Dollar,United States of America,213120,United States,Medium,2022,North America
597,Data Engineer,Full-Time,Senior,Expert,213000,United States Dollar,United States of America,213000,United States,Medium,2022,North America
598,Machine Learning Engineer,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Medium,2023,North America
599,Data Engineer,Full-Time,Mid,Intermediate,70000,British Pound Sterling,Canada,86128,Canada,Medium,2023,North America
600,Data Engineer,Full-Time,Mid,Intermediate,50000,British Pound Sterling,Canada,61520,Canada,Medium,2023,North America
601,Research Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Large,2023,North America
602,Data Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Large,2023,North America
603,Applied Scientist,Full-Time,Senior,Expert,212800,United States Dollar,United States of America,212800,United States,Medium,2022,North America
604,Data Scientist,Full-Time,Senior,Expert,212750,United States Dollar,United States of America,212750,United States,Medium,2023,North America
605,Machine Learning Engineer,Full-Time,Senior,Expert,212200,United States Dollar,United States of America,212200,United States,Medium,2023,North America
606,Machine Learning Engineer,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023,North America
607,Data Engineer,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023,North America
608,Data Analyst,Full-Time,Senior,Expert,212000,United States Dollar,United States of America,212000,United States,Medium,2023,North America
609,Machine Learning Engineer,Full-Time,Senior,Expert,211949,United States Dollar,United States of America,211949,United States,Medium,2023,North America
610,Data Scientist,Full-Time,Senior,Expert,211500,United States Dollar,United States of America,211500,United States,Medium,2022,North America
611,Research Engineer,Full-Time,Senior,Expert,211200,United States Dollar,United States of America,211200,United States,Medium,2023,North America
612,Data Science Manager,Full-Time,Senior,Expert,211000,United States Dollar,United States of America,211000,United States,Medium,2023,North America
613,Data Engineer,Full-Time,Executive,Director,210914,United States Dollar,United States of America,210914,United States,Medium,2023,North America
614,Data Engineer,Full-Time,Executive,Director,210600,United States Dollar,United States of America,210600,United States,Medium,2023,North America
615,Data Scientist,Full-Time,Senior,Expert,210550,United States Dollar,United States of America,210550,United States,Medium,2023,North America
616,Machine Learning Engineer,Full-Time,Senior,Expert,210200,United States Dollar,United States of America,210200,United States,Medium,2023,North America
617,Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
618,Machine Learning Researcher,Full-Time,Mid,Intermediate,210000,United States Dollar,United States of America,210000,United States,Small,2023,North America
619,Research Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
620,Research Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
621,Software Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Large,2023,North America
622,Machine Learning Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
623,Business Intelligence Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
624,Analytics Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
625,Data Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
626,NLP Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
627,Data Architect,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
628,Computer Vision Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
629,Research Scientist,Full-Time,Mid,Intermediate,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
630,Data Engineer,Full-Time,Executive,Director,210000,United States Dollar,United States of America,210000,United States,Medium,2023,North America
631,Data Scientist,Full-Time,Senior,Expert,170500,United States Dollar,Canada,170500,Canada,Medium,2023,North America
632,Data Scientist,Full-Time,Senior,Expert,118575,United States Dollar,Canada,118575,Canada,Medium,2023,North America
633,Machine Learning Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
634,Applied Machine Learning Scientist,Contract,Mid,Intermediate,93000,Euro,Netherlands,97712,Italy,Large,2022,Europe
635,AI Research Engineer,Full-Time,Entry,Junior,23100,Euro,Portugal,24940,Portugal,Medium,2023,Europe
636,Data Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
637,Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
638,Research Scientist,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
639,Data Architect,Full-Time,Senior,Expert,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
640,Analytics Engineer,Full-Time,Executive,Director,210000,United States Dollar,United States of America,210000,United States,Medium,2022,North America
641,Data Scientist,Full-Time,Senior,Expert,209450,United States Dollar,United States of America,209450,United States,Medium,2023,North America
642,Data Scientist,Full-Time,Senior,Expert,209300,United States Dollar,United States of America,209300,United States,Medium,2023,North America
643,Data Engineer,Full-Time,Senior,Expert,209100,United States Dollar,United States of America,209100,United States,Large,2022,North America
644,Analytics Engineer,Full-Time,Senior,Expert,209000,United States Dollar,United States of America,209000,United States,Medium,2023,North America
645,Data Engineer,Full-Time,Senior,Expert,209000,United States Dollar,United States of America,209000,United States,Medium,2023,North America
646,Data Architect,Full-Time,Senior,Expert,208775,United States Dollar,United States of America,208775,United States,Medium,2022,North America
647,Data Scientist,Full-Time,Senior,Expert,208500,United States Dollar,United States of America,208500,United States,Medium,2023,North America
648,Analytics Engineer,Full-Time,Senior,Expert,208500,United States Dollar,United States of America,208500,United States,Medium,2023,North America
649,Machine Learning Engineer,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023,North America
650,ML Engineer,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023,North America
651,Data Analyst,Full-Time,Senior,Expert,208450,United States Dollar,United States of America,208450,United States,Medium,2023,North America
652,Data Scientist,Full-Time,Senior,Expert,208400,United States Dollar,United States of America,208400,United States,Medium,2023,North America
653,Data Engineer,Full-Time,Senior,Expert,208200,United States Dollar,United States of America,208200,United States,Medium,2023,North America
654,Data Analyst,Full-Time,Senior,Expert,208049,United States Dollar,United States of America,208049,United States,Medium,2023,North America
655,Data Engineer,Full-Time,Senior,Expert,208000,United States Dollar,United States of America,208000,United States,Medium,2023,North America
656,Data Scientist,Full-Time,Mid,Intermediate,24000,Euro,Italy,25912,Italy,Small,2023,Europe
657,Data Scientist,Full-Time,Senior,Expert,125000,Euro,Netherlands,134960,Netherlands,Medium,2023,Europe
658,Data Scientist,Full-Time,Senior,Expert,208000,United States Dollar,United States of America,208000,United States,Medium,2022,North America
659,Data Scientist,Full-Time,Senior,Expert,207900,United States Dollar,United States of America,207900,United States,Medium,2023,North America
660,Machine Learning Engineer,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023,North America
661,Data Analyst,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023,North America
662,Analytics Engineer,Full-Time,Senior,Expert,207611,United States Dollar,United States of America,207611,United States,Medium,2023,North America
663,Data Scientist,Full-Time,Senior,Expert,207500,United States Dollar,United States of America,207500,United States,Medium,2023,North America
